Number,Type,Short_Description,Description,Caller_ID,Assignment_Group,Priority,Status,Domain,Opened_At,Resolved_At,Work_Notes,Remarks
RITM0000001,Service Request,Application service down – customer portal,Customer portal returning HTTP 500. Deployment CR-7812 pushed 2 hours ago. Suspected regression. Rollback needed.,sarah.jones,L2-Middleware Team,P4 - Low,Closed,Security Operations,2024-05-05 07:08,2024-05-05 21:08,Investigated the issue. Root cause identified. Fix applied.,Resolved by L1-Service Desk
INC0000002,Incident,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,raj.kumar,L1-Service Desk,P3 - Medium,Resolved,Application Services,2024-01-14 17:12,2024-01-17 15:12,Monitoring in place. No recurrence in past 2 hours.,
INC0000003,Incident,High latency on inter-DC link,RTT between DC-East and DC-West jumped from 8 ms to 210 ms. BGP route advertisement changed. Investigation in progress.,priya.nair,L2-Security Team,P4 - Low,In Progress,IT Infrastructure,2024-06-21 03:05,,User confirmed resolution. Ticket closing.,
INC0000004,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,john.smith,L2-Database Admin,P3 - Medium,Resolved,Network Services,2024-05-30 20:39,2024-06-01 19:39,Escalated to L3 team for further analysis.,
INC0000005,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,tom.wilson,L2-Security Team,P3 - Medium,In Progress,Database Services,2024-08-20 20:53,,Escalated to L3 team for further analysis.,
INC0000006,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,jessica.lee,L2-Storage Team,P4 - Low,On Hold,Application Services,2024-05-05 05:29,,Change request raised for permanent resolution.,
INC0000007,Incident,SSL certificate expiring in 7 days,SSL certificate for api.company.com expires on the 15th. Auto-renewal failed. Manual renewal in progress.,priya.nair,L3-Application Support,P4 - Low,In Progress,Application Services,2024-01-17 10:25,,User confirmed resolution. Ticket closing.,
INC0000008,Incident,DNS resolution failure,Internal DNS servers not resolving corporate domain names. Secondary DNS unreachable. Impact to all office users.,carlos.garcia,L2-Middleware Team,P3 - Medium,Resolved,Security Operations,2024-03-12 07:47,2024-03-15 07:47,Change request raised for permanent resolution.,
INC0000009,Incident,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,tom.wilson,L3-Infrastructure,P2 - High,In Progress,Cloud & Virtualisation,2024-02-16 01:55,,Escalated to L3 team for further analysis.,
CHG0000010,Change Request,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",ahmed.ali,L2-Security Team,P2 - High,Closed,Database Services,2024-09-27 08:35,2024-09-27 10:35,Change request raised for permanent resolution.,Resolved by L2-Server Team
INC0000011,Incident,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,tom.wilson,L2-Security Team,P2 - High,Resolved,Database Services,2024-05-14 16:48,2024-05-15 15:48,Patch applied successfully during maintenance window.,
INC0000012,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,anna.brown,L1-Service Desk,P3 - Medium,Closed,IT Infrastructure,2024-03-23 17:49,2024-03-26 13:49,Change request raised for permanent resolution.,Resolved by L2-Security Team
RITM0000013,Service Request,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,ahmed.ali,L2-Network Team,P4 - Low,Closed,Application Services,2024-02-10 02:46,2024-02-12 17:46,User confirmed resolution. Ticket closing.,Resolved by L2-Storage Team
RITM0000014,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,jessica.lee,L2-Security Team,P3 - Medium,Closed,Security Operations,2024-08-04 06:59,2024-08-07 04:59,Change request raised for permanent resolution.,Resolved by L3-Cloud Team
