Number,Type,Short_Description,Description,Caller_ID,Assignment_Group,Priority,Status,Domain,Opened_At,Resolved_At,Work_Notes,Remarks
RITM0000001,Service Request,Application service down – customer portal,Customer portal returning HTTP 500. Deployment CR-7812 pushed 2 hours ago. Suspected regression. Rollback needed.,sarah.jones,L2-Middleware Team,P4 - Low,Closed,Security Operations,05-05-2024 07:08,05-05-2024 21:08,Investigated the issue. Root cause identified. Fix applied.,Resolved by L1-Service Desk
INC0000002,Incident,CPU spike causing application slowness,End users are reporting slow response times. CPU utilisation on web-server-03 is at 98%. Suspected runaway process.,raj.kumar,L1-Service Desk,P3 - Medium,Resolved,Application Services,14-01-2024 17:12,17-01-2024 15:12,Monitoring in place. No recurrence in past 2 hours.,
INC0000003,Incident,High latency on inter-DC link,RTT between DC-East and DC-West jumped from 8 ms to 210 ms. BGP route advertisement changed. Investigation in progress.,priya.nair,L2-Security Team,P4 - Low,In Progress,IT Infrastructure,21-06-2024 03:05,,User confirmed resolution. Ticket closing.,
INC0000004,Incident,RabbitMQ queue overflow,RabbitMQ queue payment-events has exceeded max length. Messages being dropped. Consumer throughput issue.,john.smith,L2-Database Admin,P3 - Medium,Resolved,Network Services,30-05-2024 20:39,01-06-2024 19:39,Escalated to L3 team for further analysis.,
INC0000005,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,tom.wilson,L2-Security Team,P3 - Medium,In Progress,Database Services,20-08-2024 20:53,,Escalated to L3 team for further analysis.,
INC0000006,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,jessica.lee,L2-Storage Team,P4 - Low,On Hold,Application Services,05-05-2024 05:29,,Change request raised for permanent resolution.,
INC0000007,Incident,SSL certificate expiring in 7 days,SSL certificate for api.company.com expires on the 15th. Auto-renewal failed. Manual renewal in progress.,priya.nair,L3-Application Support,P4 - Low,In Progress,Application Services,17-01-2024 10:25,,User confirmed resolution. Ticket closing.,
INC0000008,Incident,DNS resolution failure,Internal DNS servers not resolving corporate domain names. Secondary DNS unreachable. Impact to all office users.,carlos.garcia,L2-Middleware Team,P3 - Medium,Resolved,Security Operations,12-03-2024 07:47,15-03-2024 07:47,Change request raised for permanent resolution.,
INC0000009,Incident,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,tom.wilson,L3-Infrastructure,P2 - High,In Progress,Cloud & Virtualisation,16-02-2024 01:55,,Escalated to L3 team for further analysis.,
CHG0000010,Change Request,Firewall rule causing blocked traffic,"After change request CR-4521, application traffic on port 8443 is being blocked. Rule rollback needed.",ahmed.ali,L2-Security Team,P2 - High,Closed,Database Services,27-09-2024 08:35,27-09-2024 10:35,Change request raised for permanent resolution.,Resolved by L2-Server Team
INC0000011,Incident,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,tom.wilson,L2-Security Team,P2 - High,Resolved,Database Services,14-05-2024 16:48,15-05-2024 15:48,Patch applied successfully during maintenance window.,
INC0000012,Incident,Application crashing on startup,PaymentService crashes with NullPointerException on boot. Stack trace points to missing config property.,anna.brown,L1-Service Desk,P3 - Medium,Closed,IT Infrastructure,23-03-2024 17:49,26-03-2024 13:49,Change request raised for permanent resolution.,Resolved by L2-Security Team
RITM0000013,Service Request,Storage pool capacity exceeded,NetApp SAN volume group at 94%. LUN expansion required. Storage team notified.,ahmed.ali,L2-Network Team,P4 - Low,Closed,Application Services,10-02-2024 02:46,12-02-2024 17:46,User confirmed resolution. Ticket closing.,Resolved by L2-Storage Team
RITM0000014,Service Request,Insufficient RAM on reporting server,Reporting service crashes during large data exports. Server only has 8 GB RAM. Upgrade requested.,jessica.lee,L2-Security Team,P3 - Medium,Closed,Security Operations,04-08-2024 06:59,07-08-2024 04:59,Change request raised for permanent resolution.,Resolved by L3-Cloud Team
INC0000015,Incident,Scheduled OS patching request,Monthly OS patching cycle for 45 Linux servers. Patch Tuesday schedule. Reboot required for kernel updates.,linda.wu,L1-Service Desk,P2 - High,Resolved,IT Infrastructure,25-04-2024 02:21,25-04-2024 05:21,Investigated the issue. Root cause identified. Fix applied.,
RITM0000016,Service Request,Disk space critical – /var filesystem,SolarWinds alert: /var/log partition at 96% on db-server-01. Old log rotation not working. Need immediate cleanup.,mike.patel,L2-Middleware Team,P2 - High,Closed,Cloud & Virtualisation,06-02-2024 16:15,08-02-2024 04:15,User confirmed resolution. Ticket closing.,Resolved by L2-Database Admin
INC0000017,Incident,Vulnerability scan found critical CVE,Qualys scan identified CVE-2024-1234 (CVSS 9.8) on web-server-02. Patch available. Emergency change required.,jessica.lee,L1-Service Desk,P3 - Medium,Resolved,Database Services,19-02-2024 21:27,21-02-2024 19:27,Escalated to L3 team for further analysis.,
RITM0000018,Service Request,CPU threshold breach – DB server,Splunk alert: DB-PROD-02 CPU at 92%. Slow queries detected. DBA team needs to review.,mike.patel,L2-Security Team,P2 - High,Resolved,Security Operations,25-02-2024 07:12,26-02-2024 08:12,Temporary workaround applied. Permanent fix pending.,
INC0000019,Incident,Linux server kernel panic,Server LNX-PROD-04 crashed with kernel panic – not syncing. vmcore dump captured. Analysis pending.,linda.wu,L2-Network Team,P4 - Low,Closed,Security Operations,08-10-2024 03:03,11-10-2024 01:03,User confirmed resolution. Ticket closing.,Resolved by L3-Cloud Team
CHG0000020,Change Request,Volume mount failure after reboot,"After last patch reboot, /data volume failed to auto-mount. fstab entry appears correct. Manual mount succeeded.",anna.brown,L2-Security Team,P4 - Low,On Hold,Security Operations,25-03-2024 12:00,,Patch applied successfully during maintenance window.,
INC0000021,Incident,Batch job not completing,Nightly EOD batch job stuck since 02:00 AM. Investigating deadlock in job scheduler. Data processing delayed.,john.smith,L2-Middleware Team,P3 - Medium,In Progress,Security Operations,31-05-2024 06:03,,Patch applied successfully during maintenance window.,
INC0000022,Incident,Zombie processes consuming resources,250 zombie processes detected on app-server-09. Parent process not reaping children. OS-level investigation needed.,linda.wu,L3-Infrastructure,P2 - High,In Progress,IT Infrastructure,17-09-2024 02:54,,Awaiting business approval before proceeding.,
INC0000023,Incident,RAID controller degraded,RAID-5 array reporting one failed disk. Hot spare kicked in. Replacement disk required urgently.,tom.wilson,L3-Application Support,P3 - Medium,On Hold,Application Services,11-02-2024 13:42,,Issue resolved after server restart.,
INC0000024,Incident,VPN tunnel down – remote site,Site-to-site VPN between HQ and Branch-04 is down. Remote users cannot access internal resources.,raj.kumar,L2-Network Team,P2 - High,In Progress,Network Services,07-02-2024 00:29,,Escalated to L3 team for further analysis.,
INC0000025,Incident,OS filesystem read-only due to error,Filesystem /opt mounted read-only after disk IO error. fsck required. Maintenance window needed.,tom.wilson,L2-Storage Team,P4 - Low,Resolved,IT Infrastructure,12-08-2024 17:45,14-08-2024 08:45,Patch applied successfully during maintenance window.,
CHG0000026,Change Request,Disk space critical – /var filesystem,SolarWinds alert: /var/log partition at 96% on db-server-01. Old log rotation not working. Need immediate cleanup.,raj.kumar,L2-Middleware Team,P2 - High,Closed,Application Services,09-03-2024 08:07,09-03-2024 22:07,Change request raised for permanent resolution.,Resolved by L2-Database Admin
INC0000027,Incident,Database replication lag,MySQL replica on db-replica-02 is 45 minutes behind primary. Large transaction causing replication delay.,emily.chen,L2-Network Team,P1 - Critical,Closed,Database Services,08-05-2024 01:05,10-05-2024 08:05,Issue resolved after server restart.,Resolved by L2-Network Team
RITM0000028,Service Request,Backup failure – Oracle RMAN,Nightly RMAN backup failed with ORA-19809 disk quota exceeded. Backup destination /backup is full.,mike.patel,L2-Storage Team,P3 - Medium,Closed,IT Infrastructure,14-10-2024 00:07,14-10-2024 10:07,Change request raised for permanent resolution.,Resolved by L2-Middleware Team
